Open,Close,High,Low,Volume
462.99,463.76,464.02,462.8,1259.09380839
463.88,464.98,465.0,463.32,758.47712939
464.98,464.76,465.0,464.2,234.16323099
464.84,465.0,465.0,464.64,240.29743857
465.0,466.81,466.9,465.0,1354.17958917
466.8,466.32,467.0,465.49,1354.08587408
466.5,467.66,468.0,466.21,3104.36349015
467.51,467.08,468.0,467.0,1397.22847537
467.55,466.99,467.55,466.5,669.01326951
467.1,467.8,467.96,466.99,571.45302499
467.8,466.53,467.99,466.53,778.31661217
466.53,463.74,466.88,463.64,455.31920189999994
463.84,465.57,465.61,463.74,491.80056059
465.53,465.2,465.87,464.6,441.56283134
465.19,464.06,465.2,463.59,212.73095677
464.1,464.38,465.17,463.62,264.39912962
464.32,464.2,465.32,464.2,438.68865638
464.59,464.61,464.62,464.21,243.96222084
464.87,466.01,466.33,464.87,314.88473987
465.61,465.85,466.75,464.4,1789.50727424
464.85,465.6,465.89,464.3,412.16053731
465.47,465.21,465.5,464.32,155.16396665
465.3,462.97,465.5,462.91,527.74910721
462.98,461.09,463.37,455.0,4236.02415847
461.03,461.3,461.93,459.52,935.24949693
461.24,460.3,461.61,458.86,533.59371112
460.32,461.13,461.22,459.75,361.17136082
460.77,461.13,461.13,460.28,129.97735192
461.04,460.5,461.1,460.14,341.76299875
460.54,461.92,463.63,460.5,882.86136346
461.92,461.55,462.0,461.04,166.0900677
461.54,462.04,462.93,461.0,556.93347242
462.04,461.66,462.59,461.41,119.75246456
462.22,460.01,462.22,460.0,424.73329541
460.05,460.0,460.77,460.0,310.42180857
460.0,457.98,460.0,457.3,616.62637353
457.98,455.38,458.22,455.0,1224.58112872
455.36,454.13,455.36,453.12,1717.71885262
453.13,450.45,453.55,450.0,2383.09527001
450.45,451.38,451.57,450.0,1351.96659521
451.38,454.88,454.88,451.38,565.53787944
454.99,454.26,455.85,454.09,535.72997647
454.26,451.18,454.28,450.1,916.21404023
451.2,453.23,453.48,451.2,412.07963322
452.94,454.7,454.8,452.91,318.07206931
454.69,455.67,456.0,454.68,351.27242556
455.68,453.72,456.09,453.3,493.91744678
453.76,455.07,455.17,453.76,477.47076086
455.2,455.39,455.39,454.08,335.82182103
454.96,454.28,455.89,454.12,363.29203342
454.5,454.72,454.78,454.15,210.88126938
454.44,452.63,455.32,451.37,817.46404952
453.21,452.29,453.21,451.53,199.78617335
452.39,454.26,454.4,452.39,201.00588827
454.57,454.9,454.9,453.19,283.45630435
454.89,457.0,457.0,454.89,531.45261157
457.29,458.6,459.06,457.09,563.65915149
458.61,460.56,460.68,458.6,541.58688824
460.09,461.0,462.0,460.09,604.62760569
461.0,461.31,461.96,460.51,520.19801268
461.0,461.34,462.72,459.39,436.91247425
461.31,461.12,462.28,460.99,256.27039846
